ID,Fecha,Semana,Proyecto,Modelo,Website Leads,Showroom Visits,Modelo Tipo,Separaciones,Price,Inventario restante,Ventas,Conversión Separaciones (%),Conversión Ventas (%),Inventario Disponible,Precio Promedio del Proyecto-Modelo
01/01/2024CBR-BR2,01/01/2024,1,CBR,BR2,0,0,Normal,0,0,0,NO,0,,,
01/01/2024CBR-COR3,01/01/2024,1,CBR,COR3,28,1,Normal,0,0,0,NO,0,,,
01/01/2024CBR-VIS2,01/01/2024,1,CBR,VIS2,50,7,Normal,3,"2,550,000.00",0,SI,0.428571429,,,
01/01/2024ALS-IB-3N,01/01/2024,1,ALS,IB-3N,20,0,Normal,0,0,0,NO,0,,,
01/01/2024ALS-IB-6,01/01/2024,1,ALS,IB-6,34,6,Normal,1,"2,760,000.00",0,SI,,,,
01/01/2024MTA-ATT2,01/01/2024,1,MTA,ATT2,14,1,Normal,0,0,0,NO,,,,
01/01/2024NOV-AMA,01/01/2024,1,NOV,AMA,10,3,Normal,0,0,0,NO,,,,
01/01/2024NOV-AMD,01/01/2024,1,NOV,AMD,25,6,Normal,0,0,0,NO,,,,
01/01/2024RAL-L-TS3,01/01/2024,1,RAL,L-TS3,25,5,Normal,1,"1,470,000.00",0,SI,,,,
01/01/2024RAL-L-VAL,01/01/2024,1,RAL,L-VAL,27,5,Normal,0,0,0,NO,,,,
01/01/2024LFA-CU-8,01/01/2024,1,LFA,CU-8,45,6,Normal,4,"1,020,000.00",0,SI,,,,
01/01/2024LFA-K7,01/01/2024,1,LFA,K7,0,2,Normal,0,0,0,NO,,,,
01/01/2024LFA-MS8,01/01/2024,1,LFA,MS8,10,3,Normal,0,0,0,NO,,,,
01/01/2024LFA-K3-7,01/01/2024,1,LFA,K3-7,15,8,Normal,0,0,0,NO,,,,
01/01/2024SPA-K3-7,01/01/2024,1,SPA,K3-7,58,8,Normal,5,"1,170,000.00",0,SI,,,,
01/01/2024SPA-K7,01/01/2024,1,SPA,K7,10,4,Normal,1,"1,340,000.00",0,SI,,,,
